CircleName,Radius,Area
SAY,3.798716572,45.33395983200934
PSN,9.958397174,311.55072016164485
JDP,5.142710988,83.08719726922111
AUO,3.319583841,34.61921025935596
OHG,1.138394965,4.071325310923832
MXL,2.171867077,14.8189132819863
ECS,5.220151551,85.60834393837736
NJT,1.006460535,3.182316517582511
VKQ,2.130843923,14.264388324917967
FWN,5.927454293,110.3789606312055
IOP,2.785949921,24.38352466953678
ERZ,7.951552745,198.63407893027218
IYP,7.699646666,186.24793433847128
DLL,2.313657653,16.816982342152777
CXH,3.811443291,45.638230513899366
YYE,6.387323282,128.1703788654014
JTK,8.071234468,204.65850627026052
VOZ,5.855991575,107.73349749706036
QDP,1.502862793,7.095590406135415
NSJ,5.448437473,93.25965728896769
MOY,8.882382422,247.8613480609897
GRD,3.879515531,47.282982428576034
BAM,2.424243183,18.462998685905234
YVF,7.944377203,198.2757428624283
QTS,2.769431594,24.095234508101015
IKA,4.856204219,74.08729807096486
PBD,5.239461953,86.2428807538951
AEI,4.655415584,68.08740538845919
KZD,4.37202287,60.05023659480801
RCD,2.428328858,18.525284003245847
ECL,3.835785853,46.2230478810186
DKZ,5.923403739,110.22815620291566
BRQ,6.143609011,118.57605848360997
RKP,3.967456755,49.450908646005786
ILD,2.8549402,25.606127548516895
WLS,5.65971125,100.63253710844921
VVY,9.108750622,260.6558624003254
DOR,2.891890117,26.273228736519666
FEJ,6.603429434,136.99002821621465
JVU,8.934618474,250.78519625322008
OMQ,1.638269161,8.43180171392464
DCZ,2.206212192,15.291300859311189
GUL,8.580043298,231.27507561310398
ZAX,5.870170149,108.25581948250979
DLB,6.492912306,132.44298101713514
EGC,5.757977104,104.15730635222899
DWP,3.977615659,49.704476729908365
JPD,1.574399781,7.78717463076732
RPN,8.641815058,234.61717885053403
EXF,1.385272628,6.028654267992217
YCN,9.598447904,289.435566297826
JTF,4.867077742,74.41944713270458
OOR,3.043489951,29.100042078145407
NDQ,3.844416433,46.431287094196016
TZC,3.493020582,38.33117762239627
HJZ,8.102534438,206.2489013648459
EZZ,5.19913312,84.92034452198374
GTM,8.803676263,243.4882455990034
DIZ,4.162489996,54.43224894622323
HNE,5.358216346,90.19664062197644
WZM,7.287603584,166.84736573612
XSA,3.383082199,35.95629812949712
ESN,6.55179448,134.85604051698596
KPK,5.223292083,85.71138179659779
VFS,6.328226206,125.80962342835473
LJA,2.185221773,15.001715009366963
VKQ,9.498624051,283.4466121801219
NFC,5.240788595,86.28656001473797
GBT,9.109064515,260.67382742401776
ZKC,4.698866679,69.36431768339101
HTK,8.838044936,245.39306405850766
ZNG,3.996279795,50.17202698726137
LBD,9.976698319,312.69688334740147
JGW,3.934364679,48.62942088586322
RXU,7.654479137,184.06921494401232
ZRR,4.641812144,67.69007472091229
HBA,2.75080007,23.77212067093295
ZQT,8.498572164,226.90381908217844
EBY,1.764559629,9.781884947484158
EVX,9.01791811,255.48325882567948
HAA,9.674293259,294.02778274719776
NHC,7.852416894,193.7120201210909
SMZ,7.728202898,187.63199832935942
KXW,5.654502747,100.44740268409149
CBR,8.84065312,245.5379206885147
XBH,2.664306219,22.30068224932046
ZGV,1.799418526,10.17218494383319
ELH,1.983863254,12.364408337286156
HAZ,6.234020198,122.09173989221506
BCH,4.041159174,51.305247428522954
PXR,2.658745855,22.207697053424575
SZO,2.824199883,25.05767280671844
EJG,2.488443789,19.453849094203882
DRP,6.957371466,152.06884805318975
IPA,5.853089262,107.62673544220023
PVZ,7.798121748,191.04245716552688
SQR,5.133238561,82.78140035186622
NSM,9.761868257,299.37515610810107
SXE,6.774163755,144.16547072955012
JNT,2.823492458,25.045121142671082
